"","time","CO2","Date"
"1",1958.16666666667,316.1,1958-03-02 20:00:01
"2",1958.25,317.2,1958-04-02 06:00:00
"3",1958.33333333333,317.433333333333,1958-05-02 16:00:00
"4",1959.41666666667,317.433333333333,1959-06-02 02:00:01
"5",1958.5,315.625,1958-07-02 12:00:00
"6",1958.58333333333,314.95,1958-08-01 22:00:00
"7",1958.66666666667,313.5,1958-09-01 08:00:01
"8",1958.75,313.5,1958-10-01 18:00:00
"9",1958.83333333333,313.425,1958-11-01 04:00:00
"10",1958.91666666667,314.7,1958-12-01 14:00:01
"11",1959,315.5,1959-01-01 00:00:00
"12",1959.08333333333,316.7,1959-01-31 10:00:00
"13",1959.16666666667,316.733333333333,1959-03-02 20:00:01
"14",1959.25,317.675,1959-04-02 06:00:00
"15",1959.33333333333,318.325,1959-05-02 16:00:00
"16",1959.41666666667,318.025,1959-06-02 02:00:01
"17",1959.5,316.525,1959-07-02 12:00:00
"18",1959.58333333333,314.9,1959-08-01 22:00:00
"19",1959.66666666667,313.825,1959-09-01 08:00:01
"20",1959.75,313.4,1959-10-01 18:00:00
"21",1959.83333333333,314.875,1959-11-01 04:00:00
"22",1959.91666666667,315.525,1959-12-01 14:00:01
"23",1960,316.38,1960-01-01 00:00:00
"24",1960.08333333333,316.975,1960-01-31 12:00:00
"25",1960.16666666667,317.575,1960-03-02 00:00:01
"26",1960.25,319.12,1960-04-01 12:00:00
"27",1960.33333333333,319.925,1960-05-02 00:00:00
"28",1960.41666666667,319.45,1960-06-01 12:00:01
"29",1960.5,318.06,1960-07-02 00:00:00
"30",1960.58333333333,315.775,1960-08-01 12:00:00
"31",1960.66666666667,314.175,1960-09-01 00:00:01
"32",1960.75,313.84,1960-10-01 12:00:00
"33",1960.83333333333,315.025,1960-11-01 00:00:00
"34",1960.91666666667,316.2,1960-12-01 12:00:01
"35",1961,316.925,1961-01-01 00:00:00
"36",1961.08333333333,317.65,1961-01-31 10:00:00
"37",1961.16666666667,318.525,1961-03-02 20:00:01
"38",1961.25,319.42,1961-04-02 06:00:00
"39",1961.33333333333,320.475,1961-05-02 16:00:00
"40",1961.41666666667,319.75,1961-06-02 02:00:01
"41",1961.5,318.32,1961-07-02 12:00:00
"42",1961.58333333333,316.775,1961-08-01 22:00:00
"43",1961.66666666667,315.04,1961-09-01 08:00:01
"44",1961.75,315.35,1961-10-01 18:00:00
"45",1961.83333333333,316.05,1961-11-01 04:00:00
"46",1961.91666666667,316.98,1961-12-01 14:00:01
"47",1962,317.925,1962-01-01 00:00:00
"48",1962.08333333333,318.625,1962-01-31 10:00:00
"49",1962.16666666667,319.68,1962-03-02 20:00:01
"50",1962.25,320.55,1962-04-02 06:00:00
"51",1962.33333333333,320.9,1962-05-02 16:00:00
"52",1962.41666666667,320.5,1962-06-02 02:00:01
"53",1962.5,319.425,1962-07-02 12:00:00
"54",1962.58333333333,317.733333333333,1962-08-01 22:00:00
"55",1962.66666666667,316.066666666667,1962-09-01 08:00:01
"56",1962.75,315.475,1962-10-01 18:00:00
"57",1962.83333333333,316.55,1962-11-01 04:00:00
"58",1962.91666666667,317.525,1962-12-01 14:00:01
"59",1963,318.725,1963-01-01 00:00:00
"60",1963.08333333333,318.966666666667,1963-01-31 10:00:00
"61",1963.16666666667,319.86,1963-03-02 20:00:01
"62",1963.25,321.275,1963-04-02 06:00:00
"63",1963.33333333333,322.1,1963-05-02 16:00:00
"64",1963.41666666667,321.46,1963-06-02 02:00:01
"65",1963.5,319.6,1963-07-02 12:00:00
"66",1963.58333333333,317.6,1963-08-01 22:00:00
"67",1963.66666666667,316.15,1963-09-01 08:00:01
"68",1963.75,316.05,1963-10-01 18:00:00
"69",1963.83333333333,317,1963-11-01 04:00:00
"70",1963.91666666667,318.35,1963-12-01 14:00:01
"71",1964,319.4,1964-01-01 00:00:00
"72",1964.08333333333,319.4,1964-01-31 12:00:00
"73",1964.16666666667,319.1,1964-03-02 00:00:01
"74",1964.25,319.4,1964-04-01 12:00:00
"75",1964.33333333333,322,1964-05-02 00:00:00
"76",1964.41666666667,321.75,1964-06-01 12:00:01
"77",1964.5,320.3,1964-07-02 00:00:00
"78",1964.58333333333,318.5,1964-08-01 12:00:00
"79",1964.66666666667,316.6,1964-09-01 00:00:01
"80",1964.75,316.96,1964-10-01 12:00:00
"81",1964.83333333333,317.725,1964-11-01 00:00:00
"82",1964.91666666667,318.675,1964-12-01 12:00:01
"83",1965,319.4,1965-01-01 00:00:00
"84",1965.08333333333,320.45,1965-01-31 10:00:00
"85",1965.16666666667,320.925,1965-03-02 20:00:01
"86",1965.25,322,1965-04-02 06:00:00
"87",1965.33333333333,322.06,1965-05-02 16:00:00
"88",1965.41666666667,321.775,1965-06-02 02:00:01
"89",1965.5,321.04,1965-07-02 12:00:00
"90",1965.58333333333,318.725,1965-08-01 22:00:00
"91",1965.66666666667,317.825,1965-09-01 08:00:01
"92",1965.75,317.34,1965-10-01 18:00:00
"93",1965.83333333333,318.875,1965-11-01 04:00:00
"94",1965.91666666667,319.325,1965-12-01 14:00:01
